ma_gd,thoi_gian,ma_cn,ma_kh,ma_sp,so_luong,kenh,thoi_gian_cho,danh_gia
GD00001,01/01/2025 07:46,CN02,KH0201,SP03,1,TẠI QUÁN,3.5,Rất tốt
GD00002,01/01/2025 08:00,CN04,,SP01,1,Tại quán,2.8,Tốt
GD00003,01/01/2025 08:28,CN03,KH0171,SP08,3,Mang đi,4.2,Rất tốt
GD00004,01/01/2025 10:47,CN04,KH0162,SP01,3,Tại quán,4.1,Tốt
GD00004,01/01/2025 10:47,CN04,KH0162,SP01,3,Tại quán,4.1,Tốt
GD00005,01/01/2025 11:40,CN01,KH0163,SP03,1,Tại quán,5.9,Tốt
GD00006,01/01/2025 13:57,CN01,KH0394,SP03,2,Tại quán,5.0,Tốt
GD00007,01/01/2025 16:33,CN03,KH0202,SP04,1,Tại quán,2.4,
GD00008,01/01/2025 18:07,CN01,KH0212,SP04,,TẠI QUÁN,4.3,
GD00009,01/01/2025 18:57,CN01,KH0011,SP03,1,Mang đi,2.9,
GD00010,01/01/2025 20:45,CN04,KH0273,SP04,2,Mang đi,4.7,Rất tốt
GD00011,02/01/2025 07:54,CN01,KH0229,SP09,1,Mang đi,2.4,Rất tốt
GD00012,02/01/2025 08:14,CN03,,SP08,2,Tại quán,3.8,Tốt
GD00013,02/01/2025 08:54,CN01,KH0355,SP05,1,Mang đi,3.8,Rất tốt
GD00013,02/01/2025 08:54,CN01,KH0355,SP05,1,Mang đi,3.8,Rất tốt
GD00014,02/01/2025 11:16,CN03,KH0111,SP11,2,Tại quán,12.9,
GD00015,02/01/2025 12:19,CN01,KH0279,SP03,1,Mang đi,8.1,Rất tốt
GD00016,02/01/2025 13:26,CN04,,SP09,1,Tại quán,5.3,Tốt
GD00017,02/01/2025 13:26,CN03,KH0394,SP10,3,Mang đi,5.1,
GD00018,02/01/2025 15:35,CN03,KH0335,SP05,1,Mang đi,1.8,
GD00019,02/01/2025 16:25,CN03,,SP07,3,Giao hàng,32.5,Bình thường
GD00020,02/01/2025 17:17,CN04,,SP07,3,Mang đi,4.2,Tốt
GD00021,02/01/2025 17:35,CN01,KH0295,SP14,2,Tại quán,7.0,Rất tốt
GD00022,02/01/2025 17:38,CN03,KH0363,SP03,1,Tai quan,7.6,Tốt
GD00023,02/01/2025 19:36,CN01,KH0394,SP06,2,Tai quan,4.7,Tốt
GD00024,03/01/2025 10:29,CN01,KH0307,SP06,2,Mang đi,5.6,Tốt
GD00025,03/01/2025 10:47,CN03,,SP02,1,Giao hàng,22.2,
GD00026,03/01/2025 12:09,CN01,KH0203,SP03,1,Mang đi,5.9,Tốt
GD00027,03/01/2025 12:26,CN01,KH0024,SP08,1,Tại quán,4.5,
GD00028,03/01/2025 12:28,CN04,KH0235,SP02,2,Mang đi,3.0,Tốt
GD00029,03/01/2025 14:05,CN01,KH0026,SP18,2,Mang đi,5.0,Tốt
GD00030,03/01/2025 15:12,CN02,KH0160,SP12,1,Mang đi,2.2,Bình thường
GD00031,03/01/2025 15:35,CN04,KH0239,SP10,3,Tại quán,5.4,
GD00032,03/01/2025 19:13,CN04,KH0306,SP01,5,Tại quán,10.3,Tốt
GD00033,03/01/2025 20:14,CN01,KH0016,SP09,2,Mang đi,1.8,
GD00034,03/01/2025 20:26,CN03,,SP03,1,Mang đi,5.2,Rất tốt
GD00035,03/01/2025 21:46,CN03,KH0408,SP03,1,Mang đi,3.3,Rất tốt
GD00036,04/01/2025 08:41,CN04,,SP06,1, Tại quán,2.7,Tốt
GD00037,04/01/2025 08:53,CN03,KH0004,SP06,2,Mang đi,3.3,Tốt
GD00038,04/01/2025 11:11,CN02,KH0162,SP16,1,Tại quán,11.6,Tốt
GD00039,04/01/2025 12:08,CN04,,SP03,2,Mang đi,5.1,Tốt
GD00040,04/01/2025 13:22,CN02,KH0024,SP09,2,Mang đi,7.6,Rất tốt
GD00041,04/01/2025 13:31,CN02,KH0318,SP11,2,Tai quan,4.2,Tốt
