# NHAT KY CA LAM VIEC - THANG 06/2025
# Dinh dang: YYYY-MM-DD | NVxxx | CNxx | ca=CA | vao=HH:MM | ra=HH:MM
# CA: SANG (07:00-11:00), CHIEU (12:00-17:00), TOI (17:00-22:00)
2025-06-01 | NV001 | CN02 | ca=SANG | vao=06:52 | ra=11:09
2025-06-01 | NV003 | CN04 | ca=SANG | vao=06:53 | ra=11:08
2025-06-01 | NV007 | CN01 | ca=SANG | vao=06:58 | ra=10:56
2025-06-01 | NV004 | CN02 | ca=SANG | vao=06:58 | ra=10:59
2025-06-01 | NV006 | CN03 | ca=SANG | vao=07:02 | ra=11:00
2025-06-01 | NV013 | CN03 | ca=SANG | vao=07:02 | ra=11:17
2025-06-01 | NV010 | CN04 | ca=SANG | vao=07:08 | ra=10:55
2025-06-01 | NV001 | CN01 | ca=SANG | vao=07:13 | ra=11:00
2025-06-01 | NV012 | CN01 | ca=CHIEU | vao=11:48 | ra=17:14
2025-06-01 | NV002 | CN02 | ca=CHIEU | vao=11:49 | ra=17:04
2025-06-01 | NV011 | CN04 | ca=CHIEU | vao=11:50 | ra=17:02
2025-06-01 | NV007 | CN04 | ca=CHIEU | vao=11:58 | ra=17:06
2025-06-01 | NV006 | CN03 | ca=CHIEU | vao=12:02 | ra=17:05
2025-06-01 | NV013 | CN03 | ca=CHIEU | vao=12:04 | ra=16:57
2025-06-20 | NV008 | CN03 | ca=DEM | vao=12:08 | ra=17:00
2025-06-01 | NV004 | CN01 | ca=CHIEU | vao=12:09 | ra=17:19
2025-06-01 | NV009 | CN02 | ca=CHIEU | vao=12:12 | ra=17:12
2025-06-01 | NV010 | CN03 | ca=TOI | vao=16:48 | ra=22:18
2025-06-01 | NV001 | CN04 | ca=TOI | vao=16:48 | ra=22:19
2025-06-01 | NV003 | CN03 | ca=TOI | vao=16:57 | ra=22:07
2025-06-01 | NV008 | CN01 | ca=TOI | vao=17:01 | ra=22:02
2025-06-01 | NV002 | CN02 | ca=TOI | vao=17:01 | ra=22:20
2025-06-01 | NV003 | CN02 | ca=TOI | vao=17:01 | ra=22:09
2025-06-01 | NV010 | CN04 | ca=TOI | vao=17:06 | ra=21:58
2025-06-01 | NV003 | CN01 | ca=TOI | vao=17:20 | ra=22:11
2025-06-02 | NV002 | CN02 | ca=SANG | vao=06:45 | ra=10:57
2025-06-02 | NV001 | CN01 | ca=SANG | vao=06:46 | ra=11:14
2025-06-02 | NV004 | CN02 | ca=SANG | vao=06:50 | ra=11:06
2025-06-02 | NV011 | CN04 | ca=SANG | vao=06:51 | ra=11:13
2025-06-02 | NV004 | CN01 | ca=SANG | vao=06:52 | ra=11:19
2025-06-02 | NV002 | CN04 | ca=SANG | vao=06:58 | ra=11:12
2025-06-02 | NV003 | CN03 | ca=SANG | vao=07:00 | ra=11:06
2025-06-02 | NV014 | CN03 | ca=SANG | vao=07:00 | ra=11:00
2025-06-02 | NV014 | CN03 | ca=CHIEU | vao=11:47 | ra=17:07
2025-06-02 | NV012 | CN01 | ca=CHIEU | vao=11:49 | ra=17:01
2025-06-02 | NV013 | CN02 | ca=CHIEU | vao=11:57 | ra=17:19
2025-06-02 | NV003 | CN04 | ca=CHIEU | vao=12:00 | ra=17:02
2025-06-02 | NV010 | CN03 | ca=CHIEU | vao=12:02 | ra=17:11
2025-06-02 | NV003 | CN01 | ca=CHIEU | vao=12:05 | ra=17:11
2025-06-02 | NV001 | CN02 | ca=CHIEU | vao=12:05 | ra=17:19
2025-06-02 | NV011 | CN04 | ca=CHIEU | vao=12:05 | ra=17:05
2025-06-02 | NV008 | CN01 | ca=TOI | vao=16:45 | ra=21:59
2025-06-02 | NV003 | CN04 | ca=TOI | vao=16:47 | ra=21:57
2025-06-02 | NV012 | CN01 | ca=TOI | vao=16:51 | ra=22:20
2025-06-02 | NV013 | CN03 | ca=TOI | vao=16:52 | ra=22:19
2025-06-02 | NV003 | CN02 | ca=TOI | vao=16:53 | ra=22:13
2025-06-02 | NV011 | CN04 | ca=TOI | vao=16:55 | ra=22:14
2025-06-02 | NV013 | CN02 | ca=TOI | vao=16:56 | ra=22:11
2025-06-02 | NV014 | CN03 | ca=TOI | vao=16:56 | ra=22:03
2025-06-03 | NV004 | CN01 | ca=SANG | vao=06:45 | ra=11:09
2025-06-07|NV003|CN02|ca=CHIEU|vao=12:03|ra=17:00
2025-06-30 | NV014 | CN01 | ca=DEM | vao=06:59 | ra=11:00
2025-06-03 | NV003 | CN01 | ca=SANG | vao=06:45 | ra=10:58
2025-06-03 | NV013 | CN03 | ca=SANG | vao=06:51 | ra=11:08
2025-06-03 | NV014 | CN03 | ca=SANG | vao=06:51 | ra=11:03
2025-06-03 | NV007 | CN04 | ca=SANG | vao=06:55 | ra=11:09
2025-06-03 | NV013 | CN02 | ca=SANG | vao=06:57 | ra=11:07
2025-06-13 | NV012 | CN02 | ca=DEM | vao=17:09 | ra=22:00
2025-06-03 | NV001 | CN04 | ca=SANG | vao=06:57 | ra=10:56
2025-06-03 | NV004 | CN02 | ca=SANG | vao=06:59 | ra=10:59
2025-06-13 | NV014 | CN03 | ca=chieu | vao=12:06 | ra=17:00
2025-06-03 | NV015 | CN01 | ca=SANG | vao=07:12 | ra=11:00
2025-06-03 | NV001 | CN01 | ca=CHIEU | vao=11:47 | ra=17:16
2025-06-03 | NV003 | CN04 | ca=CHIEU | vao=11:49 | ra=16:58
2025-06-03 | NV011 | CN04 | ca=CHIEU | vao=11:50 | ra=17:20
2025-06-03 | NV010 | CN03 | ca=CHIEU | vao=11:51 | ra=16:55
2025-06-03 | NV001 | CN03 | ca=CHIEU | vao=11:53 | ra=17:09
2025-06-03 | NV002 | CN02 | ca=CHIEU | vao=11:55 | ra=16:56
2025-06-14|NV007|CN04|ca=TOI|vao=17:04|ra=22:00
2025-06-03 | NV004 | CN02 | ca=CHIEU | vao=11:57 | ra=17:12
2025-06-03 | NV007 | CN01 | ca=CHIEU | vao=12:19 | ra=17:02
2025-06-03 | NV005 | CN02 | ca=TOI | vao=16:47 | ra=22:02
2025-06-03 | NV003 | CN01 | ca=TOI | vao=16:49 | ra=21:57
2025-06-03 | NV002 | CN04 | ca=TOI | vao=16:50 | ra=22:19
