ma_don,ngay_dat,ma_kh,thanh_pho,danh_muc,don_gia,so_luong,phuong_thuc_tt,danh_gia
DH00001,01/01/2025,KH0375,Cần Thơ,Thực phẩm,22000,2,Tiền mặt,3
DH00002,01/01/2025,KH0277,Hà Nội,Gia dụng,402000,1,Chuyển khoản,5
DH00003,01/01/2025,KH0374,Hà Nội,Văn phòng phẩm,16000,5,Chuyển khoản,
DH00004,01/01/2025,KH0104,Hà Nội,Mỹ phẩm,261000,2,Tiền mặt,5
DH00005,01/01/2025,KH0338,Hồ Chí Minh,Gia dụng,560000,2,Chuyển khoản,3
DH00006,01/01/2025,KH0435,Hồ Chí Minh,Gia dụng,427000,2,Chuyển khoản,3
DH00007,01/01/2025,KH0201,Huế,Thực phẩm,112000,3,Tiền mặt,5
DH00008,01/01/2025,KH0136,Hà Nội,Đồ uống,22000,4,Chuyển khoản,3
DH00009,01/01/2025,KH0372,Hồ Chí Minh,Văn phòng phẩm,32000,4,Chuyển khoản,
DH00010,01/01/2025,KH0323,Cần Thơ,Gia dụng,434000,4,Ví điện tử,
DH00011,01/01/2025,KH0282,Hà Nội,Mỹ phẩm,382000,2,Tiền mặt,5
DH00012,01/01/2025,KH0366,Hà Nội,Văn phòng phẩm,19000,1,Chuyển khoản,5
DH00013,01/01/2025,KH0237,Huế,Đồ uống,13000,4,Ví điện tử,
DH00014,01/01/2025,KH0246,Hà Nội,Thực phẩm,100000,3,Tiền mặt,5
DH00015,01/01/2025,KH0536,Hà Nội,Gia dụng,235000,1,Ví điện tử,
DH00016,01/01/2025,KH0007,Hà Nội ,Văn phòng phẩm,39000,5,Tiền mặt,4
DH00017,01/01/2025,KH0305, hà nội  ,Mỹ phẩm,434000,2,Ví điện tử,
DH00018,02/01/2025,KH0372,hà nội,Thực phẩm,46000,4,Tiền mặt,3
DH00019,02/01/2025,KH0020, hà nội  ,Văn phòng phẩm,34000,7,Ví điện tử,3
DH00020,02/01/2025,KH0151,hà nội,Văn phòng phẩm,27000,1,Chuyển khoản,1
DH00021,02/01/2025,KH0380,Đà Nẵng,Thực phẩm,31000,7,Tiền mặt,5
