# NHAT KY GIAO HANG - THANG 06/2025
# Dinh dang: YYYY-MM-DD HH:MM | DHxxxxx | TRANG_THAI | shipper=SPxx
# TRANG_THAI: GIAO_THANH_CONG, THAT_BAI, HOAN_TRA
2025-06-01 07:06 | DH01360 | GIAO_THANH_CONG | shipper=SP01
2025-06-01 08:26 | DH01656 | GIAO_THANH_CONG | shipper=SP06
2025-06-01 08:50 | DH02188 | GIAO_THANH_CONG | shipper=SP10
2025-06-01 09:29 | DH01442 | GIAO_THANH_CONG | shipper=SP06
2025-06-01 09:40 | DH01532 | GIAO_THANH_CONG | shipper=SP10
2025-06-01 09:47 | DH00984 | GIAO_THANH_CONG | shipper=SP05
2025-06-01 10:04 | DH01497 | GIAO_THANH_CONG | shipper=SP05
2025-06-01 10:21 | DH00928 | GIAO_THANH_CONG | shipper=SP07
2025-06-01 10:35 | DH02369 | GIAO_THANH_CONG | shipper=SP02
2025-06-01 11:12 | DH01629 | GIAO_THANH_CONG | shipper=SP01
2025-06-01 11:18 | DH00682 | GIAO_THANH_CONG | shipper=SP04
2025-06-01 11:33 | DH00097 | GIAO_THANH_CONG | shipper=SP04
2025-06-01 13:36 | DH01207 | GIAO_THANH_CONG | shipper=SP06
2025-06-01 14:01 | DH01412 | GIAO_THANH_CONG | shipper=SP08
2025-06-01 14:20 | DH01149 | GIAO_THANH_CONG | shipper=SP10
2025-06-01 14:28 | DH01147 | GIAO_THANH_CONG | shipper=SP08
2025-06-01 14:36 | DH01137 | GIAO_THANH_CONG | shipper=SP02
2025-06-01 14:44 | DH00948 | GIAO_THANH_CONG | shipper=SP01
2025-06-01 14:55 | DH00751 | GIAO_THANH_CONG | shipper=SP08
2025-06-01 15:25 | DH01213 | GIAO_THANH_CONG | shipper=SP10
2025-06-01 15:37 | DH01131 | GIAO_THANH_CONG | shipper=SP09
2025-06-01 15:59 | DH01963 | GIAO_THANH_CONG | shipper=SP06
2025-06-01 16:50 | DH01895 | GIAO_THANH_CONG | shipper=SP06
2025-06-01 16:51 | DH00119 | GIAO_THANH_CONG | shipper=SP04
2025-06-01 16:54 | DH02298 | GIAO_THANH_CONG | shipper=SP04
2025-06-01 16:58 | DH01676 | THAT_BAI | shipper=SP07
2025-06-01 17:34 | DH00032 | GIAO_THANH_CONG | shipper=SP07
2025-06-01 17:35 | DH01552 | THAT_BAI | shipper=SP09
2025-06-01 17:38 | DH00873 | GIAO_THANH_CONG | shipper=SP09
2025-06-01 17:44 | DH00657 | GIAO_THANH_CONG | shipper=SP05
2025-06-01 17:46 | DH02154 | GIAO_THANH_CONG | shipper=SP07
2025-06-01 19:14 | DH01539 | THAT_BAI | shipper=SP06
2025-06-01 19:39 | DH00340 | GIAO_THANH_CONG | shipper=SP01
2025-06-01 19:42 | DH00395 | GIAO_THANH_CONG | shipper=SP04
2025-06-01 20:11 | DH01514 | GIAO_THANH_CONG | shipper=SP04
2025-06-01 20:45 | DH00162 | GIAO_THANH_CONG | shipper=SP02
2025-06-01 20:56 | DH02208 | GIAO_THANH_CONG | shipper=SP07
2025-06-02 07:29 | DH01492 | HOAN_TRA | shipper=SP10
2025-06-02 09:18 | DH00979 | GIAO_THANH_CONG | shipper=SP06
