ma_cd,bat_dau,ket_thuc,tram_muon,tram_tra,ma_kh,loai_xe,quang_duong_km,danh_gia
CD00001,01/03/2025 07:20,01/03/2025 08:05,DN01,DN03,,XE MÁY ĐIỆN,14.6,Hài lòng
CD00002,01/03/2025 08:57,01/03/2025 09:15,DN01,DN01,,Xe đạp điện,5.3,Hài lòng
CD00003,01/03/2025 08:59,01/03/2025 09:29,HA01,HA01,KH0380,Xe đạp,6.5,Bình thường
CD00004,01/03/2025 10:07,01/03/2025 10:37,HA01,HA02,KH0012,Xe đạp điện,9.2,Bình thường
CD00005,01/03/2025 10:11,01/03/2025 10:21,DN01,DN04,,Xe đạp,1.9,Hài lòng
CD00006,01/03/2025 12:01,01/03/2025 12:48,DN03,DN02,KH0160,Xe đạp điện,9.6,Hài lòng
CD00007,01/03/2025 12:07,01/03/2025 12:36,HA02,HA01,KH0096,Xe đạp,5.4,Hài lòng
CD00008,01/03/2025 12:51,01/03/2025 13:01,HA02,HA01,,Xe đạp,1.8,Hài lòng
CD00009,01/03/2025 14:52,01/03/2025 15:01,DN01,DN01,KH0256,xe đạp,1.2,
CD00010,01/03/2025 15:55,01/03/2025 16:16,DN03,DN03,,Xe đạp,3.1,
CD00011,01/03/2025 16:55,,HA01,HA01,KH0115,xe máy điện,16.9,Hài lòng
CD00012,01/03/2025 20:50,01/03/2025 21:05,HA01,HA01,,Xe đạp,2.3,Hài lòng
CD00013,01/03/2025 21:17,01/03/2025 21:53,DN02,DN02,,Xe đạp,9.3,Không hài lòng
CD00014,02/03/2025 07:00,02/03/2025 07:15,DN04,DN02,,Xe đạp,2.7,Hài lòng
CD00015,02/03/2025 15:38,02/03/2025 15:51,HA02,HA01,,XE ĐẠP ĐIỆN,3.7,Hài lòng
CD00016,02/03/2025 16:39,02/03/2025 17:36,DN01,DN01,, Xe đạp,11.3,Không hài lòng
CD00017,02/03/2025 18:02,02/03/2025 19:32,DN07,DN02,KH0061,Xe máy điện,39.6,Bình thường
CD00018,02/03/2025 20:17,02/03/2025 20:40,DN07,DN01,KH0435,Xe đạp điện  ,5.0,Hài lòng
CD00019,02/03/2025 20:54,02/03/2025 22:09,DN03,DN02,KH0490,Xe đạp điện,16.7,Hài lòng
CD00020,02/03/2025 21:52,02/03/2025 22:25,DN02,DN03,KH0495,Xe đạp,5.1,Hài lòng
CD00021,03/03/2025 06:40,03/03/2025 07:15,HA01,HA01,,Xe đạp,5.1,Rất hài lòng
CD00022,03/03/2025 07:41,03/03/2025 07:52,DN01,DN02,,Xe đạp,2.6,Bình thường
CD00023,03/03/2025 15:10,03/03/2025 15:19,DN01,DN04,,Xe đạp,1.5,Hài lòng
CD00024,03/03/2025 16:57,03/03/2025 17:23,DN03,DN02,KH0152,Xe máy điện,9.6,Hài lòng
CD00025,03/03/2025 18:36,03/03/2025 19:03,HA02,HA01,,Xe đạp,3.0,Hài lòng
CD00026,03/03/2025 19:40,03/03/2025 20:29,HA01,HA01,KH0163,Xe máy điện,19.8,Hài lòng
CD00027,03/03/2025 22:02,03/03/2025 22:46,DN01,DN04,KH0247,Xe đạp điện,11.8,Hài lòng
